name,family,probability
Iphiclides podalirius,Papilionidae,1
Papilio alexanor,Papilionidae,1
Papilio hospiton,Papilionidae,1
Papilio machaon,Papilionidae,1
Parnassius apollo,Papilionidae,1
Parnassius mnemosyne,Papilionidae,1
Parnassius phoebus,Papilionidae,1
Zerynthia cassandra,Papilionidae,1
Zerynthia polyxena,Papilionidae,1
Gegenes nostrodamus,Hesperiidae,1
Gegenes pumilio,Hesperiidae,1
Hesperia comma,Hesperiidae,1
Ochlodes sylvanus,Hesperiidae,1
Thymelicus acteon,Hesperiidae,1
Thymelicus lineola,Hesperiidae,1
Thymelicus sylvestris,Hesperiidae,1
Carterocephalus palaemon,Hesperiidae,1
Heteropterus morpheus,Hesperiidae,1
Carcharodus alceae,Hesperiidae,1
Carcharodus baeticus,Hesperiidae,1
Carcharodus floccifera,Hesperiidae,1
Carcharodus lavatherae,Hesperiidae,1
Erynnis tages,Hesperiidae,1
Muschampia alta,Hesperiidae,1
Muschampia proteides,Hesperiidae,1
Muschampia proto,Hesperiidae,1
Pyrgus alveus,Hesperiidae,1
Pyrgus andromedae,Hesperiidae,1
Pyrgus armoricanus,Hesperiidae,1
Pyrgus cacaliae,Hesperiidae,1
Pyrgus carthami,Hesperiidae,1
Pyrgus cinarae,Hesperiidae,1
Pyrgus cirsii,Hesperiidae,1
Pyrgus foulquieri,Hesperiidae,1
Pyrgus malvae,Hesperiidae,1
Pyrgus malvoides,Hesperiidae,1
Pyrgus onopordi,Hesperiidae,1
Pyrgus serratulae,Hesperiidae,1
Pyrgus warrenensis,Hesperiidae,1
Spialia orbifer,Hesperiidae,1
Spialia sertorius,Hesperiidae,1
Spialia therapne,Hesperiidae,1
Colias alfacariensis,Pieridae,1
Colias crocea,Pieridae,1
Colias palaeno,Pieridae,1
Colias phicomone,Pieridae,1
Gonepteryx cleopatra,Pieridae,1
Gonepteryx rhamni,Pieridae,1
Leptidea duponcheli,Pieridae,1
Leptidea juvernica,Pieridae,1
Leptidea sinapis,Pieridae,1
Anthocharis cardamines,Pieridae,1
Anthocharis damone,Pieridae,1
Anthocharis euphenoides,Pieridae,1
Anthocharis gruneri,Pieridae,1
Aporia crataegi,Pieridae,1
Euchloe ausonia,Pieridae,1
Euchloe crameri,Pieridae,1
Euchloe insularis,Pieridae,1
Euchloe simplonia,Pieridae,1
Euchloe tagis,Pieridae,1
Pieris brassicae,Pieridae,1
Pieris bryoniae,Pieridae,1
Pieris ergane,Pieridae,1
Pieris mannii,Pieridae,1
Pieris napi,Pieridae,1
Pieris rapae,Pieridae,1
Pontia callidice,Pieridae,1
Pontia daplidice,Pieridae,1
Pontia edusa,Pieridae,1
Lycaena alciphron,Lycaenidae,1
Lycaena dispar,Lycaenidae,1
Lycaena hippothoe,Lycaenidae,1
Lycaena phlaeas,Lycaenidae,1
Lycaena thersamon,Lycaenidae,1
Lycaena tityrus,Lycaenidae,1
Lycaena virgaureae,Lycaenidae,1
Agriades glandon,Lycaenidae,1
Agriades optilete,Lycaenidae,1
